Account_Key,Billing_Num,Book_key,Book_Cycle,Billing_Cycle,Balance,BAR,Total_Due,TDtoBRatio,Instalment,Opening_Balance,Opening_Arrears,Opening_Total_Due,Opening_acc_status,Opening_acc_age,Current_Due,Xdays_Due,Due_30days,Due_60days,Due_90days,Due_120days,Due_150days,Due_180days,Due_210days,Current_per,Xdays_per,30days_per,60days_per,90days_per,120days_per,150days_per,180days_per,210days_per,Deliquency,DC,TDtoBal,ARtoBal,Recency,Account_Age,Case_Age,Original_Band,Current_Band,Existing_Account,PropensistyToRol,BehaviourRiskScore,PaymentProjectionScore,Digigroup,Contact_Score,Credit_Risk,Missing,PContacts,PRPCs,PSMSs,PEmails,PLetters,PDOs,PPTPs,PAttempts,Previous_Account,Previous_Total_Due,Previous_Payment,Previous_Payment_Amount,Previous_Payment_Perc,Previous_Cure,Current_Payment,Current_Payment_Amount,Current_Cure,Age,Gender,LSM,Income_Band,Home_Ownership_Status,Director_Status,ped_id_number,Person1_Score,Person1_MaritalStatus,Person1_MarriageDate,Person1_Gender,Deceased1_IsDeceased,Deceased1_DateOfDeath,Deceased1_PlaceOfDeath,Address1_Score,Address1_ComplexNumber,CreditScore1_CreditScore,CreditScore1_CreditScoreCategory,StrikeDates1_StrikeDate1,StrikeDates1_StrikeDate2,StrikeDates1_StrikeDate3,Judgements1_PersonName,Judgements1_Plaintiff,Judgements1_Attorneys,Judgements1_JudgmentAmount,Income1_Income,Income1_Confidence,EagleEye1_HasDefault,EagleEye1_HasJudgment,EagleEye1_IsDirector,EagleEye1_UnderDebtReview,EagleEye1_OwnsProperty,EagleEye1_LastEmploymentUpdate,EagleEye1_HasPPAccounts,EagleEye1_HasPPAdverse,CellNumber1_Score,CellNumber1_TelNumber,CellNumber1_TelType,CellNumber1_LatestDate,CellNumber2_Score,CellNumber2_TelNumber,CellNumber2_TelType,CellNumber2_LatestDate,CellNumber3_Score,CellNumber3_TelNumber,CellNumber3_TelType,CellNumber3_LatestDate,WorkNumber1_Score,WorkNumber1_TelNumber,WorkNumber1_TelType,WorkNumber1_LatestDate,WorkNumber2_Score,WorkNumber2_TelNumber,WorkNumber2_TelType,WorkNumber2_LatestDate,WorkNumber3_Score,WorkNumber3_TelNumber,WorkNumber3_TelType,WorkNumber3_LatestDate,HomeNumber1_Score,HomeNumber1_TelNumber,HomeNumber1_TelType,HomeNumber1_LatestDate,HomeNumber2_Score,HomeNumber2_TelNumber,HomeNumber2_TelType,HomeNumber2_LatestDate,HomeNumber3_Score,HomeNumber3_TelNumber,HomeNumber3_TelType,HomeNumber3_LatestDate,Employer1_OriginalEmployerName,Employer1_Occupation,Employer1_LatestDate,Employer1_EmployerTelephone,Employer2_OriginalEmployerName,Employer2_Occupation,Employer2_LatestDate,Employer2_EmployerTelephone
1104955506,2,664,Nov 2025,1,54297.61,0.9245,50199.54,0.9245,1274.78,53873.66,47839.14,48787.12,0,9,11748.53,14988.41,14680.81,8781.79,0.0,0.0,0.0,0.0,0.0,0.234,0.2986,0.2924,0.1749,0.0,0.0,0.0,0.0,0.0,4,4,0.9245,0.9245,29,58,1758,3,1,1,0.6981,155.48,0.3366,2,44.0,8.0,0,7,1,3,0,2,1,2,18,1,52253.42,0,0.0,0.0,0,1,30819.96,0,36.0,1.0,99,99,2,0,6760652429623,,Single,,Female,False,,,93.1,,640.0,Normal,17.0,18.0,18.0,,,,0,4075.0,Low,False,True,True,True,False,2025-08-19,True,False,99.8,,,2020-01-14,,,Cell,2025-12-12,79.9,,Home,2025-12-21,56.4,0821569976,Home,2024-03-09,,,Cell,2020-10-17,63.9,,,2024-08-10,86.5,0840438214,Home,2020-11-04,93.1,0716500724,Home,,,,Cell,2020-09-06,,Consultant,2024-07-24,0719015621,Shoprite,Manager,2019-09-14,
1104951152,4,6634,Oct 2025,2,40717.83,0.3927,15990.69,0.3927,1382.79,38962.04,15581.78,15646.87,0,8,2756.88,2396.91,3868.55,2562.66,30.66,3201.89,1173.14,0.0,0.0,0.1724,0.1499,0.2419,0.1603,0.0019,0.2002,0.0734,0.0,0.0,7,7,0.3927,0.3927,14,85,2553,2,3,1,0.8897,155.45,0.2106,5,63.0,-1.0,1,4,0,0,1,0,2,2,5,-1,15804.67,1,11282.06,0.7138,0,0,0.0,0,,1.0,6,3,0,1,3990366358979,100.0,Married,Unknown,Female,False,,,80.2,,350.0,ThinFile,12.0,27.0,6.0,,,,0,11030.0,Medium,False,False,False,False,True,2018-10-12,True,False,70.0,0823082590,Home,2023-07-08,,0831045869,,2020-10-13,96.0,,Home,2024-04-01,95.1,0764832763,,2025-04-22,98.0,,,,73.8,0724857331,Cell,,97.9,,Home,2025-08-29,95.3,0737422675,Home,,66.8,0721267045,Cell,2024-05-14,Eskom,Manager,2023-08-02,0810378947,Eskom,,2019-11-21,
1106011444,1,6637,Nov 2025,4,14947.46,0.4821,7206.31,0.4821,494.67,14879.75,7089.21,7479.89,0,5,2200.19,667.18,216.62,51.26,1426.6,2644.46,0.0,0.0,0.0,0.3053,0.0926,0.0301,0.0071,0.198,0.367,0.0,0.0,0.0,6,6,0.4821,0.4821,10,45,1357,1,1,1,0.9496,20.38,0.1262,10,26.0,3.0,0,9,9,5,2,0,0,2,3,-1,6522.69,0,0.0,0.0,0,1,6043.74,0,42.0,,99,5,0,99,7343538819687,100.0,Divorced,None,Female,False,,,96.1,,680.0,Normal,21.0,0.0,10.0,,,,0,5964.0,Medium,False,False,False,True,False,2018-12-17,True,False,62.0,0814024263,Home,,,0741115712,Work,2025-11-18,99.0,0762105295,Cell,,,,Work,,,0741767254,Work,2023-06-04,53.0,,Home,,61.6,,Cell,2022-12-24,,,Work,2020-11-25,94.5,0832098599,Home,2021-12-18,Self Employed,,2021-07-25,,Self Employed,,,
1106019167,4,6647,Nov 2025,3,44162.96,0.9494,41927.03,0.9494,1657.2,45038.49,40339.78,43910.79,0,10,11864.22,5194.28,228.57,6819.68,3755.94,14064.34,0.0,0.0,0.0,0.283,0.1239,0.0055,0.1627,0.0896,0.3354,0.0,0.0,0.0,6,6,0.9494,0.9494,1,15,464,1,2,-1,0.9327,705.41,0.4825,8,69.0,2.0,0,1,1,3,1,2,1,0,9,-1,40237.84,1,31786.35,0.79,0,1,31228.1,0,27.0,2.0,9,7,2,0,9238434939761,,Divorced,Unknown,,,,,92.3,,500.0,Normal,19.0,,10.0,,,,0,1452.0,Low,False,False,False,False,True,2018-10-08,True,False,,,,,70.6,0731086291,Home,2020-02-08,,0821435642,Cell,,,0769296256,Cell,2025-07-27,95.1,0746366676,,,72.0,0730271159,Home,2022-11-18,97.2,0767319198,Home,,,,Cell,2023-09-05,,,,,Sasol,Driver,,,Self Employed,Director,,
1106014362,1,664,Nov 2025,2,26620.48,0.4033,10735.72,0.4033,1491.31,25297.0,11120.49,10354.27,0,3,4496.07,618.95,4878.58,742.12,0.0,0.0,0.0,0.0,0.0,0.4188,0.0577,0.4544,0.0691,0.0,0.0,0.0,0.0,0.0,4,4,0.4033,0.4033,16,46,1405,2,5,1,0.0158,126.76,,8,98.0,8.0,0,9,0,5,2,2,1,3,20,1,9792.75,0,0.0,0.0,0,0,0.0,0,45.0,2.0,99,2,1,0,1657352547168,100.0,Widowed,None,Female,False,,,58.8,,590.0,Normal,,,3.0,,,,0,5187.0,Low,False,False,False,False,False,2025-06-18,True,False,,,Home,2024-10-23,98.7,0836566602,,2022-01-13,78.3,,Home,2020-12-13,57.8,,,2025-06-16,,0830297721,,2024-04-06,61.5,0848080098,Work,,70.3,0738689082,,2023-06-24,61.1,0725159378,,,80.1,0840964556,Work,2023-08-16,,,2019-12-17,0765304032,XYZ Ltd,Technician,2021-07-05,
1105122381,2,6647,Nov 2025,4,79283.39,0.6668,52869.97,0.6668,3519.57,78204.33,55079.6,52274.74,0,6,1452.88,17504.06,9284.91,9147.33,15480.79,0.0,0.0,0.0,0.0,0.0275,0.3311,0.1756,0.173,0.2928,0.0,0.0,0.0,0.0,5,5,0.6668,0.6668,3,50,1509,3,5,1,0.3334,141.43,0.9677,7,15.0,0.0,1,10,5,1,2,2,2,0,20,-1,52060.07,0,0.0,0.0,0,0,0.0,0,41.0,1.0,99,99,2,0,5575686511669,,Divorced,None,Female,False,,,97.9,926.0,650.0,Normal,14.0,9.0,16.0,,,,0,3254.0,Low,False,False,False,False,False,2024-03-21,True,False,,,Cell,2024-06-11,61.8,0782307310,Home,2021-07-22,73.5,,,2024-09-15,,,,2020-12-16,68.0,,,,86.6,0837305817,Work,2022-01-16,53.2,0810278333,,,,0843138783,Home,2024-02-13,76.0,,Work,2021-11-13,Standard Bank,Teacher,,0710638691,,,2022-03-27,
1105125566,2,6634,Oct 2025,2,40173.99,0.5709,22934.98,0.5709,1706.07,39216.95,22385.21,22811.76,0,10,14931.97,8003.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6511,0.3489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.5709,0.5709,13,16,484,1,4,1,0.8987,87.79,0.8455,6,,7.0,1,2,2,5,2,2,0,2,16,1,21198.17,0,0.0,0.0,0,0,0.0,0,33.0,1.0,10,3,0,0,3975780964638,100.0,Married,None,Male,False,,,,958.0,620.0,Normal,28.0,2.0,20.0,,,,0,4861.0,Low,False,True,False,False,False,2019-12-03,True,False,92.1,,Work,2023-05-22,90.2,0764614431,Home,2023-11-15,,0821214109,,2021-10-16,96.7,0747454309,,,64.1,0846201123,Cell,,,0817296193,Home,2024-02-06,60.0,,,2024-05-28,,,Home,2020-04-19,63.3,,,,,Driver,2017-04-15,0839870123,Sasol,Driver,,
1105125735,2,6648,Dec 2025,4,28229.85,0.9536,26919.71,0.9536,1462.76,27590.32,25901.81,27395.17,0,7,2902.12,2538.76,5686.55,1077.46,309.44,7027.16,581.33,6796.89,0.0,0.1078,0.0943,0.2112,0.04,0.0115,0.261,0.0216,0.2525,0.0,8,8,0.9536,0.9536,7,84,2528,4,2,1,0.828,562.02,0.1092,4,,7.0,0,0,0,3,1,2,1,0,21,1,24255.64,1,23987.75,0.989,0,0,0.0,0,44.0,2.0,4,5,0,0,6278094890871,100.0,Divorced,None,Male,False,,,67.3,,830.0,Normal,16.0,6.0,10.0,,,,0,6710.0,Medium,True,False,False,False,True,2024-11-07,False,False,,,,,,,,,,0833797887,Work,2020-12-01,,0831892518,,,75.5,,Cell,,,0719090477,Work,2024-03-13,69.1,0793665631,,2022-07-01,87.8,0816558232,Work,2020-05-11,71.0,,,2022-06-08,,,2025-04-11,,,Supervisor,,
1105234012,4,664,Nov 2025,3,68674.53,0.401,27541.66,0.401,2645.41,65636.53,27301.16,27311.71,0,9,27541.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.401,0.401,9999,0,4,4,2,0,0.255,79.07,0.3711,4,5.0,9.0,0,0,0,0,0,0,2,1,0,0,0.0,0,0.0,0.0,0,0,0.0,0,73.0,2.0,99,4,0,99,,100.0,Widowed,Unknown,,False,,,,567.0,550.0,Normal,9.0,10.0,18.0,,,,0,5808.0,Medium,False,False,False,False,True,,True,False,95.8,,,,,,,,90.7,,Home,2025-02-23,,0848096043,,,92.3,0785805028,,2020-10-31,64.0,,,2022-09-11,92.5,,,,88.5,,Cell,,80.9,,Home,,,Consultant,2020-09-29,0710557804,Sasol,Engineer,2016-11-25,
1105079123,2,6648,Oct 2025,2,24720.31,0.9642,23834.74,0.9642,822.91,25017.43,24559.5,23428.46,0,6,9487.23,7500.03,6847.48,0.0,0.0,0.0,0.0,0.0,0.0,0.398,0.3147,0.2873,0.0,0.0,0.0,0.0,0.0,0.0,3,3,0.9642,0.9642,1,39,1180,5,2,-1,0.3142,968.73,0.695,10,99.0,5.0,1,5,0,4,0,2,2,1,21,-1,21579.57,1,15770.59,0.7308,0,1,14415.83,0,69.0,1.0,7,3,1,1,6770944596573,100.0,,2001-02-19,Male,,,,99.0,410.0,790.0,Normal,,3.0,16.0,,,,0,9950.0,Low,False,False,False,False,True,2018-04-11,True,False,54.3,0733375307,,,,0739755344,,,86.9,,,,55.7,0815656538,Work,2023-05-03,79.5,,Cell,2021-12-10,,0788689413,Work,2025-07-07,92.0,0725720227,Home,2021-04-08,63.4,0785774247,,2020-05-12,67.4,0818182768,,2021-07-24,Shoprite,Supervisor,2018-02-25,,FNB,Nurse,2016-06-03,
